artist,album,rating,review_link,info_link
Lil Yachty,Nuthin' 2 Prove,20,https://www.youtube.com/watch?v=-n60eP_iDvw,https://www.albumoftheyear.org/album/121682-lil-yachty-nuthin-2-prove.php
Future & Juice WRLD,Future & Juice WRLD Present... WRLD ON DRUGS,50,https://www.youtube.com/watch?v=9Ibaafl2_-I,https://www.albumoftheyear.org/album/125123-future-juice-wrld-wrld-on-drugs.php
Current 93,The Light Is Leaving Us All,80,https://www.youtube.com/watch?v=Nev2-f2cfjo,https://www.albumoftheyear.org/album/125096-current-93-the-light-is-leaving-us-all.php
Polyphia,New Levels New Devils,80,https://www.youtube.com/watch?v=fdryZIr7Cp4,https://www.albumoftheyear.org/album/124324-polyphia-new-levels-new-devils.php
City Morgue,City Morgue Vol. 1: Hell Or High Water,60,https://www.youtube.com/watch?v=pLjeA3MdYHA,https://www.albumoftheyear.org/album/124166-city-morgue-city-morgue-vol-1-hell-or-high-water.php
Kurt Vile,Bottle It In,60,https://www.youtube.com/watch?v=cEkJziOSNzs,https://www.albumoftheyear.org/album/119172-kurt-vile-bottle-it-in.php
Quavo,Quavo Huncho,40,https://www.youtube.com/watch?v=x28E4mYBdwI,https://www.albumoftheyear.org/album/123762-quavo-quavo-huncho.php
Behemoth,I Loved You at Your Darkest,70,https://www.youtube.com/watch?v=EFnXxL8sJ74,https://www.albumoftheyear.org/album/117742-behemoth-i-loved-you-at-your-darkest.php
Twenty One Pilots,Trench,80,https://www.youtube.com/watch?v=GTuTUfMe64Q,https://www.albumoftheyear.org/album/116023-twenty-one-pilots-trench.php
Little Big,"Antipositive, Pt. 2",60,https://www.youtube.com/watch?v=oCYzQoqadRI,https://www.albumoftheyear.org/album/124436-little-big-antipositive-pt-2.php
High on Fire,Electric Messiah,60,https://www.youtube.com/watch?v=ORMZmOHPpWQ,https://www.albumoftheyear.org/album/118093-high-on-fire-electric-messiah.php
Sheck Wes,MUDBOY,60,https://www.youtube.com/watch?v=vmOjFuDulwY,https://www.albumoftheyear.org/album/123763-sheck-wes-mudboy.php
Clarence Clarity,THINK : PEACE,70,https://www.youtube.com/watch?v=mFXDzNcsUcg,https://www.albumoftheyear.org/album/121848-clarence-clarity-think-peace.php
Kero Kero Bonito,Time 'n' Place,80,https://www.youtube.com/watch?v=ErQy1u8wT6g,https://www.albumoftheyear.org/album/121823-kero-kero-bonito-time-n-place.php
Tim Hecker,Konoyo,60,https://www.youtube.com/watch?v=c_oRpnnMVIs,https://www.albumoftheyear.org/album/117555-tim-hecker-konoyo.php
Lil Wayne,Tha Carter V,60,https://www.youtube.com/watch?v=EHNTRu_ocH4,https://www.albumoftheyear.org/album/13726-lil-wayne-tha-carter-v.php
Horrendous,Idol,90,https://www.youtube.com/watch?v=Sh1JemfxBkc,https://www.albumoftheyear.org/album/118441-horrendous-idol.php
Marissa Nadler,For My Crimes,70,https://www.youtube.com/watch?v=r_WKzCe2Tc0,https://www.albumoftheyear.org/album/114762-marissa-nadler-for-my-crimes.php
Logic,YSIV,50,https://www.youtube.com/watch?v=9NYrsLKHDvg,https://www.albumoftheyear.org/album/120147-logic-ysiv.php
BROCKHAMPTON,iridescence,70,https://www.youtube.com/watch?v=E4csHqVYJXo,https://www.albumoftheyear.org/album/119852-brockhampton-iridescence.php
Lupe Fiasco,DROGAS Wave,70,https://www.youtube.com/watch?v=LbhRrs9mQcw,https://www.albumoftheyear.org/album/121465-lupe-fiasco-drogas-wave.php
JMSN,Velvet,70,https://www.youtube.com/watch?v=BbtNEZizabs,https://www.albumoftheyear.org/album/122163-jmsn-velvet.php
Milo,Budding Ornithologists Are Weary of Tired Analogies,60,https://www.youtube.com/watch?v=MSivWA97EdQ,https://www.albumoftheyear.org/album/120939-milo-budding-ornithologists-are-weary-of-tired-analogies.php
6LACK,East Atlanta Love Letter,40,https://www.youtube.com/watch?v=gHCD_yZlqBA,https://www.albumoftheyear.org/album/121314-6lack-east-atlanta-love-letter.php
Aphex Twin,Collapse EP,80,https://www.youtube.com/watch?v=xedn_lbTJzo,https://www.albumoftheyear.org/album/118163-aphex-twin-collapse.php
Guerilla Toss,Twisted Crystal,80,https://www.youtube.com/watch?v=57r3E3XRNRk,https://www.albumoftheyear.org/album/116483-guerilla-toss-twisted-crystal.php
Noname,Room 25,80,https://www.youtube.com/watch?v=NvbzLQbLShE,https://www.albumoftheyear.org/album/120191-noname-room-25.php
Russ,Zoo,30,https://www.youtube.com/watch?v=18NbdIPrMLo,https://www.albumoftheyear.org/album/119912-russ-zoo.php
$uicideboy$,I Want To Die In New Orleans,60,https://www.youtube.com/watch?v=u0q5KiNtTbE,https://www.albumoftheyear.org/album/117487-suicideboys-i-want-to-die-in-new-orleans.php
